ref_date,geo,reg_status,prog_level,program_class,sex,value
1992/1993,Canada,"Total, registration status","Total, program level","Total, instructional programs",Both sexes,885645
1992/1993,Canada,"Total, registration status","Total, program level","Total, instructional programs",Males,394311
1992/1993,Canada,"Total, registration status","Total, program level","Total, instructional programs",Females,491334
1992/1993,Canada,"Total, registration status","Total, program level",Education,Both sexes,87033
1992/1993,Canada,"Total, registration status","Total, program level",Education,Males,22824
1992/1993,Canada,"Total, registration status","Total, program level",Education,Females,64212
1992/1993,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Both sexes,25167
1992/1993,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Males,9021
1992/1993,Canada,"Total, registration status","Total, program level",Visual and performing arts and communications technologies,Females,16146
1992/1993,Canada,"Total, registration status","Total, program level",Humanities,Both sexes,148362
1992/1993,Canada,"Total, registration status","Total, program level",Humanities,Males,57426
1992/1993,Canada,"Total, registration status","Total, program level",Humanities,Females,90936
1992/1993,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Both sexes,147486
1992/1993,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Males,58719
1992/1993,Canada,"Total, registration status","Total, program level",Social and behavioural sciences and law,Females,88767
1992/1993,Canada,"Total, registration status","Total, program level","Business, management and public administration",Both sexes,136845
1992/1993,Canada,"Total, registration status","Total, program level","Business, management and public administration",Males,64845
1992/1993,Canada,"Total, registration status","Total, program level","Business, management and public administration",Females,72003
1992/1993,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Both sexes,73275
1992/1993,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Males,38241
1992/1993,Canada,"Total, registration status","Total, program level",Physical and life sciences and technologies,Females,35034
1992/1993,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Both sexes,31938
1992/1993,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Males,22053
1992/1993,Canada,"Total, registration status","Total, program level","Mathematics, computer and information sciences",Females,9882
1992/1993,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Both sexes,64341
1992/1993,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Males,52329
1992/1993,Canada,"Total, registration status","Total, program level","Architecture, engineering and related technologies",Females,12012
1992/1993,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Both sexes,13470
1992/1993,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Males,7599
1992/1993,Canada,"Total, registration status","Total, program level","Agriculture, natural resources and conservation",Females,5874
1992/1993,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Both sexes,70353
1992/1993,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Males,26172
1992/1993,Canada,"Total, registration status","Total, program level","Health, parks, recreation and fitness",Females,44181
1992/1993,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Both sexes,255
1992/1993,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Males,210
1992/1993,Canada,"Total, registration status","Total, program level","Personal, protective and transportation services",Females,45
1992/1993,Canada,"Total, registration status","Total, program level",Other instructional programs,Both sexes,87120
1992/1993,Canada,"Total, registration status","Total, program level",Other instructional programs,Males,34872
1992/1993,Canada,"Total, registration status","Total, program level",Other instructional programs,Females,52245
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Both sexes,3210
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Males,1527
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Females,1686
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Both sexes,66
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Males,21
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Females,48
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Both sexes,240
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Males,72
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Females,168
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Both sexes,276
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Males,114
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Females,162
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Both sexes,1047
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Males,444
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Females,603
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Both sexes,618
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Males,486
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Females,132
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Both sexes,168
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Males,9
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Females,159
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Both sexes,795
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Males,378
1992/1993,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Females,414
1992/1993,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Both sexes,677157
1992/1993,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Males,295092
1992/1993,Canada,"Total, registration status",Undergraduate level,"Total, instructional programs",Females,382068
1992/1993,Canada,"Total, registration status",Undergraduate level,Education,Both sexes,66924
1992/1993,Canada,"Total, registration status",Undergraduate level,Education,Males,16959
1992/1993,Canada,"Total, registration status",Undergraduate level,Education,Females,49965
1992/1993,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Both sexes,22419
1992/1993,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Males,7902
1992/1993,Canada,"Total, registration status",Undergraduate level,Visual and performing arts and communications technologies,Females,14520
1992/1993,Canada,"Total, registration status",Undergraduate level,Humanities,Both sexes,130920
1992/1993,Canada,"Total, registration status",Undergraduate level,Humanities,Males,49587
1992/1993,Canada,"Total, registration status",Undergraduate level,Humanities,Females,81333
1992/1993,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Both sexes,129963
1992/1993,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Males,50730
1992/1993,Canada,"Total, registration status",Undergraduate level,Social and behavioural sciences and law,Females,79233
1992/1993,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Both sexes,111591
1992/1993,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Males,50943
1992/1993,Canada,"Total, registration status",Undergraduate level,"Business, management and public administration",Females,60651
1992/1993,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Both sexes,60459
1992/1993,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Males,29982
1992/1993,Canada,"Total, registration status",Undergraduate level,Physical and life sciences and technologies,Females,30474
1992/1993,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Both sexes,26868
1992/1993,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Males,18708
1992/1993,Canada,"Total, registration status",Undergraduate level,"Mathematics, computer and information sciences",Females,8157
1992/1993,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Both sexes,51462
1992/1993,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Males,41775
1992/1993,Canada,"Total, registration status",Undergraduate level,"Architecture, engineering and related technologies",Females,9687
